#{"t_start": 1641419706.7975063, "env_id": null}
r,l,t
-0.015,6,7800.249809
-0.43,127,7836.808908
-0.09,36,7849.497476
-0.065,41,7863.261074
-20.49,187,7915.109872
-0.015,1,7918.541742
-0.155,22,7927.999589
-0.1,45,7943.631559
-19.985,10,7949.685365
-20.035,30,7961.492579
-20.125,36,7975.930104
-0.04,6,7980.55577
-20.04,27,7990.705541
-20.145,39,8004.274644
-0.185,64,8023.933215
-0.275,50,8040.147864
-20.235,135,8078.249944
-20.02,4,8082.966631
-0.06,9,8088.9461
-0.035,4,8093.089361
-19.955,13,8100.184268
-0.33,82,8124.24856
-20.025,21,8133.990537
-0.31,54,8151.84879
-0.015,1,8155.206971
-0.07,13,8161.620855
-20.04,17,8170.340482
-20.005,3,8174.531436
-0.13,37,8186.902946
-0.06,9,8192.270667
-20.37,159,8237.638315
-19.96,35,8250.980288
0.01,1,8254.360208
-19.95,16,8261.995902
-20.055,8,8267.880597
-20.5,161,8312.491526
-0.155,27,8322.900222
-0.16,54,8340.039298
-20.215,72,8362.014418
-0.185,69,8382.848063
-0.66,254,8451.670312
-20.01,15,8459.090506
-20.045,34,8471.627558
-0.125,25,8481.276966
-0.155,67,8501.595906
-0.07,8,8506.7461
-0.145,28,8516.978333
-0.1,20,8525.165761
-0.085,19,8533.500097
-0.135,19,8541.651479
-19.995,9,8547.867656
-0.22,78,8570.869203
-0.07,8,8575.978822
-0.06,4,8580.09146
-0.17,33,8591.428597
-0.275,70,8612.293487
-0.07,18,8619.911986
-0.08,7,8624.819159
-20.085,45,8640.26195
-0.18,47,8655.2283
-20.125,101,8685.169014
-20.03,13,8692.598234
-19.955,18,8700.542093
-0.4,225,8763.42472
-0.045,3,8767.254377
-0.04,16,8774.390973
-19.99,32,8785.756959
-0.045,18,8793.383018
-20.03,13,8800.046333
-0.12,23,8809.315476
-0.09,16,8816.675787
-0.14,26,8826.890395
-19.99,2,8830.731477
-0.085,44,8845.113291
-0.015,56,8863.119048
-20.005,3,8867.444142
-20.02,4,8872.290764
-20.04,82,8896.623658
-0.02,83,8920.899036
-0.025,5,8925.276714
-20.055,23,8935.63369
-20.035,30,8948.398145
-0.11,24,8958.250624
0.01,6,8962.981946
-0.235,59,8981.621524
-0.245,63,9000.770995
0.005,23,9009.800995
-0.235,69,9030.653593
-0.085,34,9042.453303
-20.03,18,9051.10604
-19.97,14,9058.317618
-19.9,41,9072.180709
-0.045,3,9076.10548
-20.26,75,9099.152301
-0.115,21,9107.993116
-20.23,73,9130.774713
-0.21,99,9159.608305
-0.07,18,9167.213367
-0.085,14,9173.857423
-0.055,12,9179.982347
-20.15,86,9206.737204
-19.975,6,9211.879556
-20.165,127,9248.567266
-0.08,52,9264.780979
-20.02,24,9274.737281
-20.145,69,9296.659408
-0.345,98,9324.968215
-19.99,27,9336.409741
-0.09,6,9340.977784
-0.115,36,9353.331444
-0.045,13,9359.745573
-0.41,94,9388.895648
-0.085,9,9394.602816
-0.035,9,9400.056509
-0.06,9,9405.488916
-0.125,40,9418.648321
-20.17,139,9460.603124
-0.135,34,9472.779428
-20.05,36,9487.20093
-20.11,40,9502.816656
-20.03,18,9510.954209
-0.1,25,9520.502142
-20.09,37,9534.494707
-0.12,63,9553.93288
-0.135,19,9561.587636
-20.135,70,9584.884734
-19.99,37,9598.600051
-0.03,7,9603.616214
-19.985,10,9609.818334
-20.29,97,9640.552389
-19.99,42,9655.039139
-20.095,29,9666.027926
-0.22,63,9685.612979
-20.08,43,9701.243344
-19.99,2,9705.045753
-20.455,268,9779.452144
-20.24,57,9797.599272
-20.085,50,9814.871483
-20.015,2,9818.619365
-0.06,9,9823.95689
-19.985,5,9828.782364
-19.97,9,9835.05856
-0.195,53,9852.37353
-0.08,17,9859.852237
-20.095,119,9895.885891
-0.105,12,9902.044078
-19.95,31,9914.866726
-0.07,13,9921.367057
-20.455,213,9979.767144
-19.99,22,9988.959764
-20.055,18,9997.515814
-0.085,34,10009.818347
-0.1,10,10015.489367
-0.36,94,10043.057847
-0.485,164,10090.269456
-0.405,107,10120.560902
-0.105,17,10128.414907
-0.33,92,10156.845706
-20.055,23,10167.185782
-0.105,12,10173.626993
-20.055,38,10188.59805
-0.16,34,10200.430328
-0.015,6,10205.090263
-20.01,15,10212.650238
-0.15,15,10219.332768
-0.2,40,10232.504444
-0.1,35,10244.702199
-0.14,41,10258.555564
-20.08,43,10274.003546
-20.265,142,10316.102471
-20.115,82,10340.461237
-20.06,25,10350.509602
-0.015,6,10355.284304
-0.09,26,10365.159971
-20.015,17,10373.744639
-0.275,45,10388.658537
-0.02,3,10392.427932
-0.045,18,10400.135664
-19.915,17,10407.997804
-20.075,16,10415.756006
-0.135,44,10430.422428
-20.02,69,10452.963248
-0.085,14,10459.631779
-20.18,78,10483.39496
-19.975,16,10491.721069
-0.165,56,10509.529375
-0.175,25,10519.278512
-0.15,50,10535.53359
-0.125,45,10550.556994
-0.005,17,10557.778909
-0.485,144,10597.790776
-0.13,22,10606.550834
-0.015,1,10609.971749
-0.115,16,10617.344291
-0.055,7,10622.155668
-0.12,48,10637.393888
-0.17,38,10650.164655
-0.125,30,10661.060325
-0.015,6,10665.663351
-0.235,84,10692.033976
-19.97,39,10707.20794
-19.995,54,10724.749119
-0.155,67,10745.223997
-19.985,15,10752.988712
-0.12,48,10768.028631
-0.09,21,10776.427471
-20.03,13,10783.440528
-20.355,138,10822.927632
-0.12,18,10830.663046
-0.05,5,10835.078525
-0.12,28,10845.260855
-0.055,7,10850.15522
-0.07,28,10860.490608
-0.185,29,10871.022242
-0.1,20,10879.544188
-19.985,25,10889.498439
-0.03,2,10893.144189
-0.39,106,10923.859085
-0.095,8,10928.8916
-0.09,11,10934.813956
-0.02,18,10942.406417
-20.005,48,10958.354458
-0.165,31,10969.665393
-0.07,18,10977.396582
-0.21,54,10994.288869
-0.175,50,11009.947234
-19.98,18,11018.528831
-20.06,40,11032.275882
-19.985,5,11036.975359
-0.21,29,11047.508457
-20.105,68,11068.608338
-20.055,23,11078.137687
-0.085,34,11090.537886
-20.035,35,11103.69383
-0.045,3,11107.641762
-0.225,40,11120.928755
-0.145,33,11132.333306
-0.06,14,11138.907366
-20.195,59,11157.7393
-0.045,3,11161.649879
-0.365,136,11200.318746
-0.5,170,11249.458752
-19.995,9,11255.676444
-0.25,65,11275.832781
-0.32,83,11302.557204
-0.39,216,11363.184089
-20.005,3,11367.368755
-20.035,25,11378.584296
-20.37,249,11446.726686
-0.095,13,11453.048136
-0.64,226,11515.089298
-0.23,117,11550.857959
-0.1,20,11559.162328
-0.165,66,11579.922669
-20.12,34,11593.974127
-20.465,147,11636.518612
-0.045,3,11640.47645
-0.07,8,11645.435711
-20.0,1,11648.882102
-0.045,8,11654.019067
-0.08,12,11660.114756
-0.215,46,11674.951094
-20.52,189,11727.55008
-0.085,14,11734.238193
-0.15,15,11741.040076
-19.925,26,11751.775892
-0.14,51,11768.479645
-20.065,37,11782.552174
-0.035,9,11787.811402
-0.055,7,11792.739727
-19.985,15,11800.22551
-20.175,71,11824.074443
-19.995,69,11845.269553
-20.18,48,11862.429978
-0.12,13,11869.315078
-20.185,110,11903.156017
-0.06,4,11907.23657
-0.06,9,11912.572614
-0.165,31,11923.660757
-0.05,25,11933.314077
-0.075,15,11940.305879
-19.99,12,11947.267559
-0.03,12,11953.493254
-0.03,7,11958.256804
-20.1,46,11974.259099
-0.12,28,11984.230143
-19.94,7,11989.619281
-0.22,28,11999.809042
-0.205,57,12018.477674
-19.97,9,12024.489759
-19.985,5,12029.391296
-19.975,6,12034.847645
-0.175,30,12046.198407
-0.05,5,12050.729409
-0.035,9,12056.185452
-0.15,25,12065.570491
-0.33,102,12095.511804
-20.265,147,12139.487288
-20.39,287,12216.207266
-20.06,40,12230.206305
